feedback_id,client_id,date_feedback,motif_contact,canal,temps_attente,temps_resolution,note_globale,note_rapidite,note_competence,note_amabilite,probleme_resolu,commentaire
SVCLI-00391,CLI-40422,2025-10-11,Demande de devis,Agence,2-5 min,< 24h,5,4,5,5,Oui,Prise en charge rapide
SVCLI-00392,CLI-60135,2025-08-11,Modification de contrat,Formulaire web,5-10 min,Immédiat,3,2,2,3,Partiellement,Toujours en attente de solution
SVCLI-00393,CLI-17841,2025-09-06,Modification de contrat,Chat en ligne,2-5 min,< 24h,3,4,2,3,Partiellement,Pas de rappel comme promis
SVCLI-00394,CLI-25672,2025-05-14,Résiliation,Formulaire web,< 2 min,3-7 jours,5,5,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00395,CLI-81936,2025-08-16,Réclamation,Application mobile,5-10 min,3-7 jours,3,3,2,2,Partiellement,Toujours en attente de solution
SVCLI-00396,CLI-64658,2025-06-22,Problème de paiement,Agence,< 2 min,3-7 jours,5,5,5,5,Oui,Problème résolu immédiatement
SVCLI-00397,CLI-18435,2025-06-21,Déclaration de sinistre,Formulaire web,> 20 min,3-7 jours,4,5,4,3,Oui,Réponse rapide et précise
SVCLI-00398,CLI-72038,2025-05-29,Question sur contrat,Téléphone,2-5 min,1-3 jours,5,5,4,4,Oui,Réponse rapide et précise
SVCLI-00399,CLI-31370,2025-08-09,Réclamation,Application mobile,< 2 min,Immédiat,4,4,4,3,Oui,Service de qualité
SVCLI-00400,CLI-32318,2025-06-27,Modification de contrat,Formulaire web,< 2 min,1-3 jours,3,3,3,2,Partiellement,Service décevant
SVCLI-00401,CLI-65011,2025-10-01,Renouvellement,Agence,> 20 min,1-3 jours,5,5,5,5,Oui,Réponse rapide et précise
SVCLI-00402,CLI-66598,2025-08-04,Question technique app/site,Formulaire web,2-5 min,> 7 jours,3,3,3,4,Partiellement,Toujours en attente de solution
SVCLI-00403,CLI-67070,2025-09-12,Réclamation,Email,< 2 min,< 24h,5,4,4,5,Oui,Explications claires
SVCLI-00404,CLI-29194,2025-04-26,Demande d'attestation,Chat en ligne,10-20 min,1-3 jours,2,1,1,2,Non,Problème non résolu
SVCLI-00405,CLI-14685,2025-10-04,Réclamation,Application mobile,10-20 min,3-7 jours,2,2,2,2,Non,Temps d'attente beaucoup trop long
SVCLI-00406,CLI-57485,2025-07-18,Demande d'attestation,Formulaire web,10-20 min,< 24h,1,1,2,1,Non,Information contradictoire
SVCLI-00407,CLI-27242,2025-06-28,Suivi de dossier,Téléphone,5-10 min,< 24h,5,5,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00408,CLI-25572,2025-09-19,Question technique app/site,Email,< 2 min,3-7 jours,4,5,3,3,Oui,Service de qualité
SVCLI-00409,CLI-68057,2025-10-07,Demande de devis,Email,> 20 min,Immédiat,5,5,4,4,Oui,Très bonne écoute
SVCLI-00410,CLI-49348,2025-09-17,Question technique app/site,Agence,> 20 min,1-3 jours,5,5,5,4,Oui,Très bonne écoute
SVCLI-00411,CLI-74375,2025-10-09,Question sur contrat,Application mobile,10-20 min,< 24h,3,2,4,2,Partiellement,Service décevant
SVCLI-00412,CLI-35238,2025-05-16,Renouvellement,Chat en ligne,> 20 min,3-7 jours,5,5,5,5,Oui,Problème résolu immédiatement
SVCLI-00413,CLI-49481,2025-04-25,Modification de contrat,Téléphone,5-10 min,> 7 jours,5,4,4,5,Oui,Réponse rapide et précise
SVCLI-00414,CLI-82221,2025-10-04,Question sur contrat,Téléphone,2-5 min,< 24h,5,5,5,5,Oui,Prise en charge rapide
SVCLI-00415,CLI-32341,2025-07-02,Résiliation,Chat en ligne,5-10 min,3-7 jours,3,3,4,2,Partiellement,Toujours en attente de solution
SVCLI-00416,CLI-21422,2025-10-10,Demande de devis,Application mobile,5-10 min,< 24h,4,3,4,4,Oui,Disponibilité appréciée
SVCLI-00417,CLI-61978,2025-07-03,Demande d'attestation,Email,> 20 min,> 7 jours,4,4,5,3,Oui,Réponse rapide et précise
SVCLI-00418,CLI-99135,2025-10-18,Renouvellement,Formulaire web,2-5 min,> 7 jours,3,3,3,4,Partiellement,Conseiller pas assez informé
SVCLI-00419,CLI-66495,2025-09-02,Question sur contrat,Formulaire web,< 2 min,< 24h,3,4,2,2,Partiellement,Transféré plusieurs fois
SVCLI-00420,CLI-33062,2025-07-13,Résiliation,Formulaire web,5-10 min,1-3 jours,5,5,5,5,Oui,Prise en charge rapide
SVCLI-00421,CLI-66458,2025-07-20,Question sur contrat,Email,< 2 min,Immédiat,1,1,1,1,Non,Service décevant
SVCLI-00422,CLI-25160,2025-08-05,Information sur garanties,Téléphone,> 20 min,1-3 jours,5,5,5,4,Oui,Conseiller très efficace et sympathique
SVCLI-00423,CLI-40880,2025-06-09,Suivi de dossier,Chat en ligne,5-10 min,1-3 jours,5,5,5,4,Oui,Prise en charge rapide
SVCLI-00424,CLI-28260,2025-07-26,Résiliation,Agence,< 2 min,> 7 jours,4,3,5,3,Oui,Conseiller très efficace et sympathique
SVCLI-00425,CLI-56645,2025-05-06,Demande de devis,Téléphone,5-10 min,1-3 jours,4,4,3,3,Oui,Conseiller très efficace et sympathique
SVCLI-00426,CLI-68259,2025-08-09,Modification de contrat,Formulaire web,< 2 min,Immédiat,1,1,1,1,Non,Temps d'attente beaucoup trop long
SVCLI-00427,CLI-96245,2025-08-14,Question sur contrat,Email,> 20 min,3-7 jours,5,5,4,4,Oui,Très bonne écoute
SVCLI-00428,CLI-21189,2025-06-09,Question sur contrat,Chat en ligne,5-10 min,1-3 jours,5,5,5,5,Oui,Disponibilité appréciée
SVCLI-00429,CLI-26574,2025-09-04,Demande d'attestation,Téléphone,> 20 min,< 24h,3,3,2,3,Partiellement,Transféré plusieurs fois
SVCLI-00430,CLI-58510,2025-06-16,Information sur garanties,Application mobile,< 2 min,> 7 jours,4,5,3,5,Oui,Professionnel et courtois
SVCLI-00431,CLI-66849,2025-07-03,Modification de contrat,Téléphone,10-20 min,> 7 jours,3,3,4,4,Partiellement,Transféré plusieurs fois
SVCLI-00432,CLI-33569,2025-06-27,Question technique app/site,Application mobile,> 20 min,Immédiat,4,3,5,3,Oui,Réponse rapide et précise
SVCLI-00433,CLI-13657,2025-06-11,Demande de devis,Application mobile,> 20 min,> 7 jours,4,4,5,3,Oui,Conseiller très efficace et sympathique
SVCLI-00434,CLI-92541,2025-08-29,Demande de devis,Téléphone,5-10 min,< 24h,4,4,5,3,Oui,Service de qualité
SVCLI-00435,CLI-99973,2025-08-18,Renouvellement,Téléphone,> 20 min,1-3 jours,4,5,4,4,Oui,Réponse rapide et précise
SVCLI-00436,CLI-40687,2025-06-21,Demande d'attestation,Téléphone,> 20 min,3-7 jours,5,5,5,4,Oui,Service de qualité
SVCLI-00437,CLI-82400,2025-10-10,Suivi de dossier,Application mobile,5-10 min,1-3 jours,5,5,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00438,CLI-34809,2025-10-06,Information sur garanties,Email,> 20 min,Immédiat,4,5,3,4,Oui,Prise en charge rapide
SVCLI-00439,CLI-37969,2025-08-31,Demande d'attestation,Application mobile,2-5 min,Immédiat,2,3,2,1,Non,Temps d'attente beaucoup trop long
SVCLI-00440,CLI-85710,2025-06-27,Demande de devis,Téléphone,2-5 min,Immédiat,5,5,5,4,Oui,Réponse rapide et précise
SVCLI-00441,CLI-83437,2025-07-15,Demande d'attestation,Formulaire web,10-20 min,> 7 jours,2,2,3,2,Non,Conseiller pas assez informé
SVCLI-00442,CLI-96843,2025-08-02,Suivi de dossier,Formulaire web,10-20 min,3-7 jours,3,4,3,3,Partiellement,Information contradictoire
SVCLI-00443,CLI-87347,2025-09-28,Problème de paiement,Email,5-10 min,Immédiat,5,5,5,5,Oui,Service de qualité
SVCLI-00444,CLI-84352,2025-04-27,Question sur contrat,Application mobile,10-20 min,Immédiat,4,4,4,4,Oui,Réponse rapide et précise
SVCLI-00445,CLI-57723,2025-05-15,Demande de devis,Agence,5-10 min,Immédiat,1,2,1,1,Non,Manque d'empathie
SVCLI-00446,CLI-98474,2025-09-01,Question sur contrat,Agence,< 2 min,< 24h,5,5,5,4,Oui,Réponse rapide et précise
SVCLI-00447,CLI-79321,2025-10-14,Modification de contrat,Formulaire web,5-10 min,< 24h,2,1,2,2,Non,Toujours en attente de solution
SVCLI-00448,CLI-74728,2025-05-03,Suivi de dossier,Email,10-20 min,Immédiat,5,5,5,5,Oui,Disponibilité appréciée
SVCLI-00449,CLI-51724,2025-06-04,Demande d'attestation,Téléphone,10-20 min,< 24h,3,4,2,2,Partiellement,Toujours en attente de solution
SVCLI-00450,CLI-42950,2025-08-16,Renouvellement,Formulaire web,10-20 min,> 7 jours,2,3,1,3,Non,Conseiller pas assez informé
SVCLI-00451,CLI-44213,2025-08-20,Question technique app/site,Application mobile,< 2 min,Immédiat,4,4,5,5,Oui,Professionnel et courtois
SVCLI-00452,CLI-79625,2025-07-15,Réclamation,Agence,2-5 min,Immédiat,4,4,4,4,Oui,Conseiller compétent
SVCLI-00453,CLI-63253,2025-08-28,Résiliation,Application mobile,> 20 min,< 24h,3,4,2,4,Partiellement,Problème non résolu
SVCLI-00454,CLI-26426,2025-10-13,Demande de devis,Agence,5-10 min,3-7 jours,3,2,4,4,Partiellement,Réponse évasive
SVCLI-00455,CLI-56323,2025-06-14,Problème de paiement,Formulaire web,10-20 min,Immédiat,5,4,5,5,Oui,Disponibilité appréciée
SVCLI-00456,CLI-24173,2025-04-24,Suivi de dossier,Agence,2-5 min,> 7 jours,3,3,2,4,Partiellement,Toujours en attente de solution
SVCLI-00457,CLI-83791,2025-08-24,Résiliation,Application mobile,5-10 min,1-3 jours,4,5,4,4,Oui,Conseiller très efficace et sympathique
SVCLI-00458,CLI-26554,2025-05-07,Demande de devis,Agence,< 2 min,1-3 jours,1,1,1,2,Non,Temps d'attente beaucoup trop long
SVCLI-00459,CLI-15896,2025-10-02,Problème de paiement,Formulaire web,5-10 min,> 7 jours,3,4,4,2,Partiellement,Transféré plusieurs fois
SVCLI-00460,CLI-48711,2025-07-17,Renouvellement,Téléphone,10-20 min,< 24h,5,5,5,5,Oui,Service de qualité
SVCLI-00461,CLI-59332,2025-05-30,Demande de devis,Agence,> 20 min,Immédiat,4,5,5,4,Oui,Professionnel et courtois
SVCLI-00462,CLI-55212,2025-06-04,Question sur contrat,Email,10-20 min,3-7 jours,4,3,3,3,Oui,Service de qualité
SVCLI-00463,CLI-85798,2025-09-03,Déclaration de sinistre,Chat en ligne,5-10 min,> 7 jours,2,3,2,2,Non,Pas de rappel comme promis
SVCLI-00464,CLI-31059,2025-05-22,Résiliation,Téléphone,2-5 min,< 24h,5,5,5,5,Oui,Professionnel et courtois
SVCLI-00465,CLI-92520,2025-08-26,Modification de contrat,Téléphone,5-10 min,3-7 jours,4,5,3,5,Oui,Prise en charge rapide
SVCLI-00466,CLI-20271,2025-06-07,Réclamation,Application mobile,2-5 min,> 7 jours,5,4,4,4,Oui,Problème résolu immédiatement
SVCLI-00467,CLI-17420,2025-09-17,Suivi de dossier,Chat en ligne,2-5 min,3-7 jours,4,4,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00468,CLI-30368,2025-06-20,Renouvellement,Agence,10-20 min,Immédiat,4,3,4,4,Oui,Explications claires
SVCLI-00469,CLI-72665,2025-10-11,Résiliation,Chat en ligne,> 20 min,< 24h,5,4,4,4,Oui,Disponibilité appréciée
SVCLI-00470,CLI-60217,2025-08-25,Modification de contrat,Application mobile,2-5 min,3-7 jours,2,1,3,3,Non,Toujours en attente de solution
SVCLI-00471,CLI-13474,2025-05-06,Déclaration de sinistre,Téléphone,> 20 min,> 7 jours,4,5,3,5,Oui,Très bonne écoute
SVCLI-00472,CLI-48565,2025-09-21,Suivi de dossier,Email,> 20 min,3-7 jours,3,3,3,4,Partiellement,Information contradictoire
SVCLI-00473,CLI-75708,2025-05-04,Modification de contrat,Formulaire web,10-20 min,> 7 jours,1,1,1,2,Non,Transféré plusieurs fois
SVCLI-00474,CLI-66683,2025-06-27,Demande d'attestation,Email,> 20 min,3-7 jours,2,1,3,2,Non,Pas de rappel comme promis
SVCLI-00475,CLI-21721,2025-06-22,Problème de paiement,Agence,< 2 min,1-3 jours,4,5,3,3,Oui,Conseiller très efficace et sympathique
SVCLI-00476,CLI-89577,2025-05-08,Suivi de dossier,Téléphone,< 2 min,3-7 jours,1,1,2,2,Non,Problème non résolu
SVCLI-00477,CLI-19866,2025-07-13,Demande d'attestation,Téléphone,5-10 min,> 7 jours,1,2,2,1,Non,Pas de rappel comme promis
SVCLI-00478,CLI-23688,2025-07-05,Problème de paiement,Formulaire web,10-20 min,< 24h,2,1,3,3,Non,Manque d'empathie
SVCLI-00479,CLI-13652,2025-10-18,Demande d'attestation,Agence,5-10 min,Immédiat,3,2,2,3,Partiellement,Conseiller pas assez informé
SVCLI-00480,CLI-89898,2025-10-01,Problème de paiement,Application mobile,< 2 min,1-3 jours,2,3,1,3,Non,Temps d'attente beaucoup trop long
SVCLI-00481,CLI-50222,2025-06-06,Suivi de dossier,Agence,> 20 min,1-3 jours,4,4,4,4,Oui,Réponse rapide et précise
SVCLI-00482,CLI-41880,2025-10-17,Réclamation,Email,2-5 min,1-3 jours,5,5,5,4,Oui,Réponse rapide et précise
SVCLI-00483,CLI-87808,2025-08-07,Déclaration de sinistre,Email,2-5 min,1-3 jours,5,5,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00484,CLI-21955,2025-08-10,Demande de devis,Agence,2-5 min,> 7 jours,2,1,2,1,Non,Manque d'empathie
SVCLI-00485,CLI-41526,2025-09-01,Demande d'attestation,Agence,2-5 min,> 7 jours,5,5,4,4,Oui,Problème résolu immédiatement
SVCLI-00486,CLI-53689,2025-09-30,Réclamation,Formulaire web,5-10 min,Immédiat,3,2,3,3,Partiellement,Conseiller pas assez informé
SVCLI-00487,CLI-28420,2025-05-13,Demande de devis,Téléphone,5-10 min,> 7 jours,4,5,5,5,Oui,Disponibilité appréciée
SVCLI-00488,CLI-26386,2025-09-30,Demande de devis,Formulaire web,< 2 min,1-3 jours,4,4,5,5,Oui,Conseiller très efficace et sympathique
SVCLI-00489,CLI-32236,2025-07-15,Demande d'attestation,Chat en ligne,< 2 min,3-7 jours,4,4,5,3,Oui,Service de qualité
SVCLI-00490,CLI-27262,2025-04-26,Information sur garanties,Application mobile,> 20 min,> 7 jours,4,3,4,5,Oui,Service de qualité
SVCLI-00491,CLI-14867,2025-09-13,Modification de contrat,Téléphone,10-20 min,< 24h,3,4,4,4,Partiellement,Transféré plusieurs fois
SVCLI-00492,CLI-38370,2025-05-03,Information sur garanties,Application mobile,> 20 min,1-3 jours,2,2,3,1,Non,Information contradictoire
SVCLI-00493,CLI-64184,2025-06-05,Question sur contrat,Formulaire web,> 20 min,< 24h,3,3,3,3,Partiellement,Information contradictoire
SVCLI-00494,CLI-14848,2025-04-24,Information sur garanties,Application mobile,< 2 min,< 24h,5,5,4,5,Oui,Prise en charge rapide
SVCLI-00495,CLI-85041,2025-09-25,Question technique app/site,Formulaire web,10-20 min,> 7 jours,4,3,4,5,Oui,Prise en charge rapide
SVCLI-00496,CLI-43913,2025-08-16,Question technique app/site,Formulaire web,2-5 min,> 7 jours,4,5,3,3,Oui,Professionnel et courtois
SVCLI-00497,CLI-98709,2025-05-25,Déclaration de sinistre,Application mobile,2-5 min,1-3 jours,1,2,2,1,Non,Conseiller pas assez informé
SVCLI-00498,CLI-19914,2025-08-09,Réclamation,Email,5-10 min,< 24h,1,1,1,1,Non,Problème non résolu
SVCLI-00499,CLI-23376,2025-09-05,Problème de paiement,Agence,10-20 min,Immédiat,4,4,5,4,Oui,Conseiller très efficace et sympathique
SVCLI-00500,CLI-88328,2025-08-08,Résiliation,Formulaire web,< 2 min,1-3 jours,5,5,5,4,Oui,Prise en charge rapide
